Alba,229372
Arad,235886
Arges,297936
Bacau,335155
Bihor,277353
Bistrita-Nasaud,115567
Botosani,167104
Braila,241942
Brasov,417212
Bucuresti,1921751
Buzau,180800
Calarasi,124960
Caras-Severin,194314
Cluj,426121
Constanta,463242
Covasna,115614
Dambovita,164187
Dolj,374943
Galati,352566
Giurgiu,96548
Gorj,151905
Harghita,149751
Hunedoara,255996
Ialomita,119553
Iasi,89319
Ilfov,30132
Maramures,269720
Mehedinti,144776
Mures,288414
Neamt,206527
Olt,192368
Prahova,428049
Salaj,101109
Satu Mare,40666
Sibiu,283082
Suceava,228246
Teleorman,141936
Timis,408432
Tulcea,121571
Valcea,165665
Vaslui,153263
Vrancea,143121
